text,intent
what's the dress code,general_question
what food do you have,menu
do you take reservations,general_question
what days are you open,hours
book dinner for 2,reservation
Reserve a spot,reservation
I'd like to know what drinks do you have,menu
"Excuse me, what time does it close",hours
what time do you close,hours
what's your address,direction
reserve a table for 2?,reservation
I'm wondering reserve for 7pm,reservation
I'd like to know what kind of food,menu
HOW FAR ARE YOU,direction
AFTERNOON,greeting
Can i reserve a table,reservation
I'd like to know afternoon,greeting
Can you tell me good day,greeting
Can you tell me what area are you in,direction
can I come at 7pm?,hours
hello there,greeting
appreciate the help,goodbye
MORNING,greeting
I'd like to know bye,goodbye
Do you accept cards,pricing
evening please,greeting
I'm wondering how do I get there,direction
I'm wondering what's the location,direction
I'm wondering what time do you close,hours
I'm wondering what are your menu items,menu
I'm wondering what's nearby,direction
I'd like to know do you have vegetarian options,menu
WHAT KIND OF FOOD,menu
"Excuse me, what are your hours",hours
what's your special please,menu
how much does it cost?,pricing
where can I find you please,direction
do you have pasta,menu
I'm wondering is it expensive,pricing
thank you have a good day,goodbye
where are you,direction
I'm wondering table reservation,reservation
I'm wondering what are your operating hours,hours
I'm wondering how far are you,direction
I'm wondering what's good here,menu
what are your hours,hours
Can you tell me hi there,greeting
I'm wondering can you give me the address,direction
greetings?,greeting
what's the location,direction
Can you tell me what's your capacity,general_question
I'd like to know thank you,goodbye
where is it,direction
I'm wondering do you take reservations,general_question
reserve a table for 2,reservation
I'm wondering do you have pasta,menu
Can you tell me where are you,direction
I'm wondering hello there,greeting
what are the opening hours please,hours
greetings please,greeting
"Excuse me, what kind of food",menu
do you have music,general_question
what food do you have?,menu
I'm wondering book a table for tonight,reservation
Greetings,greeting
directions please please,direction
I'd like to know hello,greeting
"Excuse me, thank you very much",goodbye
I'd like to know do you cater,general_question
I'd like to know are prices reasonable,pricing
thanks bye,goodbye
Can you tell me good evening,greeting
Is parking available,general_question
do you have vegetarian options,menu
I want to make a reservation,reservation
What drinks do you have,menu
bye for now,goodbye
reserve a spot?,reservation
bye,goodbye
where is the restaurant,direction
"Excuse me, where are you",direction
Can you tell me book dinner for 2,reservation
I'd like to know how much for dinner,pricing
I'm wondering what do you recommend,menu
I'd like to know can you reserve us a table,reservation
show me the menu please,menu
I'd like to know how much does it cost,pricing
do you accept cards?,pricing
where can I find you,direction
are kids welcome,general_question
what's your phone number,general_question
I'd like to know what's available,menu
I'd like to know what's the average price,pricing
thanks so much please,goodbye
"Excuse me, what are your operating hours",hours
I'm wondering what's the cost,pricing
Can you tell me good morning,greeting
"Excuse me, are you open on weekends",hours
can we get a table,reservation
are you open today please,hours
Can you tell me do you have vegetarian options,menu
I'd like to know book dinner for 2,reservation
I'm wondering what payment methods,general_question
I'd like to know reserve a table for 2,reservation
I'd like to know what are your business hours,hours
can I come at 7pm,hours
"Excuse me, what's your special",menu
Can you tell me what's the cost,pricing
What are your prices,pricing
thanks bye?,goodbye
what's the price range?,pricing
how much does it cost,pricing
"Excuse me, do you have outdoor seating",general_question
how much does dinner cost,pricing
I'm wondering can I reserve a table,reservation
what's special about this place,general_question
Can you tell me how much money,pricing
Can you tell me do you have outdoor seating,general_question
I'm wondering afternoon,greeting
I'm wondering how to get to the restaurant,direction
Appreciate it,goodbye
thank you,goodbye
